Lp. t T2 U
1 0 26.5 2.3
2 5 28.1 2.3
3 10 29.5 2.4
4 15 30.9 2.5
5 20 32.1 2.5
6 25 33.2 2.6
7 30 34.2 2.6
8 35 35.1 2.6
9 40 36.8 2.7
10 45 37.5 2.7
11 50 38.1 2.8
12 55 38.8 2.8
13 60 39.3 2.8
14 65 39.9 2.8
15 70 40.3 2.9
16 75 40.8 2.9
17 80 41.3 2.9
18 85 41.7 2.9
19 90 42.1 2.9
20 95 42.4 3.0
21 100 42.8 3.0
22 105 43.1 3.0
23 110 43.4 3.0
24 115 43.8 3.0
25 120 44.0 3.0
26 125 44.3 3.0
27 130 44.5 3.0
28 135 44.8 3.1
29 140 45.0 3.1
30 145 45.2 3.1
31 150 45.4 3.1
32 155 45.6 3.1
33 160 45.8 3.1
34 165 46.0 3.1
35 170 45.2 3.1
36 175 45.3 3.1
37 180 45.5 3.1
38 185 46.6 3.1
39 190 46.8 3.1
40 195 46.9 3.1
41 200 47.1 3.1
42 205 47.2 3.1
43 210 47.3 3.1
44 215 47.5 3.2
45 220 47.6 3.2
46 225 47.8 3.2
47 230 47.9 3.2
48 235 48.0 3.2
49 240 48.1 3.2
50 245 48.2 3.2
51 250 48.3 3.2
52 255 48.3 3.2
53 260 48.4 3.2
54 265 48.5 3.2
55 270 48.7 3.2
56 275 48.8 3.2
