Lp. t T2 U
1 0 24.3 2.0
2 5 23.1 2.1
3 10 21.8 2.2
4 15 20.5 2.2
5 20 19.3 2.3
6 25 18.3 2.3
7 30 17.4 2.4
8 35 16.6 2.4
9 40 16.0 2.4
10 45 15.3 2.5
11 50 14.8 2.5
12 55 14.2 2.5
13 60 13.8 2.5
14 65 13.3 2.6
15 70 13.1 2.6
16 75 12.7 2.6
17 80 12.4 2.6
18 85 11.9 2.6
19 90 11.8 2.6
20 95 11.5 2.6
21 100 11.3 2.6
22 105 11.2 2.6
23 110 11.1 2.6
24 115 10.9 2.6
25 120 10.8 2.6
26 125 10.7 2.6
27 130 10.6 2.6
28 135 10.5 2.7
29 140 10.4 2.7
30 145 10.3 2.7
31 150 10.2 2.7
32 155 10.1 2.7
33 160 10.0 2.7
34 165 10.0 2.7
35 170 10.0 2.7
36 175 9.9 2.7
37 180 9.9 2.7
38 185 9.8 2.7
