lp T U
1 18.70 0.94000
2 20.00 1.01100
3 22.00 1.09700
4 24.00 1.18600
5 26.20 1.31800
6 28.00 1.40200
7 30.00 1.4940
8 32.00 1.6030
9 34.00 1.7040
10 36.00 1.8120
11 38.00 1.9180
12 40.00 2.0010
13 42.00 2.1140
14 44.10 2.2130
15 46.00 2.3230
16 48.00 2.4210
17 50.00 2.5300
18 52.00 2.6290
19 54.00 2.7310
20 56.00 2.8470
21 58.00 2.9550
22 60.00 3.0580
23 62.00 3.1570
24 64.00 3.2530
25 66.00 3.3680
26 68.00 3.4820
27 70.00 3.5870
28 72.00 3.6870
29 74.00 3.7900
30 76.00 3.8990
31 78.00 4.0100
32 80.00 4.1140
33 82.00 4.2270
34 84.00 4.3220
35 86.00 4.4260
36 88.00 4.5360
37 90.00 4.6560
