lp t U
1 0.0 4.9870
2 0.5 4.7320
3 1.0 4.5130
4 1.5 4.3420
5 2.0 4.2120
6 2.5 4.1010
7 3.0 3.9850
8 3.5 3.8560
9 4.0 3.7570
10 4.5 3.6450
11 5.0 3.5460
12 5.5 3.4560
13 6.0 3.3800
14 6.5 3.3340
15 7.0 3.3200
16 7.5 3.3210
17 8.0 3.3290
18 8.5 3.3390
19 9.0 3.3480
20 9.5 3.3550
21 10.0 3.3610
22 10.5 3.3630
23 11.0 3.3660
24 11.5 3.3670
25 12.0 3.3670
26 12.5 3.3690
27 13.0 3.3730
28 13.5 3.3760
29 14.0 3.3790
30 14.5 3.3830
31 15.0 3.3860
32 15.5 3.3880
33 16.0 3.3900
34 16.5 3.3930
35 17.0 3.3940
36 17.5 3.3950
37 18.0 3.3970
38 18.5 3.3970
39 19.0 3.3960
40 19.5 3.3930
41 20.0 3.3880
42 20.5 3.3840
43 21.0 3.3800
44 21.5 3.3730
45 22.0 3.3680
46 22.5 3.3580
47 23.0 3.3450
48 23.5 3.3310
49 24.0 3.3170
50 24.5 3.2960
51 25.0 3.2690
52 25.5 3.2320
53 26.0 3.1810
54 26.5 3.1170
55 27.0 3.0350
56 27.5 2.9450
57 28.0 2.8530
58 28.5 2.7670
59 29.0 2.6830
60 29.5 2.6030
61 30.0 2.5320
62 30.5 2.4640
63 31.0 2.4070
64 31.5 2.3530
65 32.0 2.3050
66 32.5 2.2610
67 33.0 2.2180
68 33.5 2.1810
69 34.0 2.1460
70 34.5 2.1130
71 35.0 2.0840
72 35.5 2.0560
73 36.0 2.0330
74 36.5 2.0110
75 37.0 1.9900
