f_1;I_1;f_2;I_2;f_3;I_3
100;0.13;100;0.13;100;0.12
300;0.58;300;0.58;300;0.59
500;0.94;500;0.94;500;0.93
700;1.32;700;1.32;700;1.3
900;1.72;900;1.73;900;1.68
1100;2.17;1100;2.17;1100;2.08
1300;2.69;1300;2.69;1300;2.53
1500;3.3;1500;3.28;1500;3.03
1700;4.06;1700;4.01;1700;3.58
1900;5.08;1900;4.93;1900;4.18
2100;6.38;2100;6.11;2100;4.86
2300;8.2;2300;7.69;2300;5.58
2500;10.9;2500;9.81;2500;6.29
2700;14.97;2700;12.61;2700;6.96
2750;16.31;2900;15.83;2900;7.49
2800;17.76;3000;17.25;3000;7.67
2840;18.98;3050;17.83;3070;7.77
2880;20.22;3090;18.19;3130;7.83
2920;21.49;3130;18.46;3150;7.85
2960;22.71;3150;18.57;3170;7.85
2980;23.3;3170;18.65;3180;7.87
3000;23.85;3180;18.67;3185;7.87
3010;24.1;3185;18.7;3190;7.87
3070;25.48;3190;18.7;3195;7.87
3100;25.97;3195;18.71;3200;7.87
3140;26.45;3200;18.71;3205;7.88
3180;26.67;3205;18.72;3210;7.87
3195;26.7;3210;18.73;3215;7.87
3200;26.68;3215;18.74;3220;7.87
3230;26.57;3220;18.75;3225;7.87
3260;26.33;3225;18.73;3230;7.87
3300;25.86;3230;18.73;3240;7.87
3350;25.03;3235;18.73;3250;7.87
3400;24.05;3240;18.72;3260;7.87
3560;20.65;3245;18.72;3270;7.87
3700;17.85;3250;18.71;3280;7.87
3900;14.54;3255;18.7;3290;7.86
4100;12.02;3265;18.69;3300;7.86
4400;9.19;3280;18.64;3320;7.85
4800;6.66;3300;18.56;3340;7.84
5300;4.55;3320;18.47;3360;7.83
5800;3.1;3340;18.35;3380;7.82
6300;2.01;3380;18.08;3400;7.8
7000;0.83;3430;17.67;3430;7.76
7500;0.37;3480;17.19;3470;7.72
;;3530;16.67;3520;7.65
;;3600;15.9;3570;7.57
;;3700;14.76;3650;7.41
;;3900;12.59;3720;7.27
;;4100;10.72;3800;7.08
;;4300;9.15;3900;6.82
;;4600;7.28;4000;6.56
;;4900;5.83;4100;6.28
;;5200;4.69;4300;5.73
;;5600;3.5;4500;5.18
;;6000;2.55;4700;4.64
;;6400;1.77;5000;3.91
;;6800;1.08;5400;3.04
;;7300;0.5;5800;2.27
;;8000;0.17;6200;1.62
;;;;6600;1.01
;;;;7000;0.56
;;;;7400;0.3
;;;;8000;0.14
