lp. L x_p x_l
1 56 20 21
2 70 25 25
3 93 32 33
4 114 40 41
5 148 52 53
6 175 61 62
7 200 70 71
8 225 79 79
9 250 88 88
10 275 96 97
11 290 102 102
12 310 109 109
13 325 114 114
14 340 120 120
15 355 125 125
16 370 129 130
17 385 135 136
18 400 142 143
19 420 147 147
20 440 154 155
21 460 161 162
22 480 168 169
23 500 176 176
24 520 183 183
25 535 188 188
26 545 192 192
27 560 197 197
28 570 201 201
29 585 206 206
30 600 211 211
31 615 217 217
32 636 224 223
33 645 227 227
34 655 231 230
35 665 235 234
36 675 238 237
37 686 241 241
38 695 245 244
39 705 248 247
40 710 250 249
