Lambda	I
0	11.4
373	11.5
376	11.6
379	11.7
382	11.6
385	11.8
388	11.9
391	11.7
394	11.8
397	11.8
400	11.9
403	12.0
406	12.1
409	12.1
412	12.2
415	12.5
418	12.3
421	12.7
424	12.8
427	12.9
430	12.9
433	12.9
436	13.1
439	13.3
442	13.5
445	13.9
448	14.0
451	14.1
454	14.2
457	14.3
460	14.5
463	14.7
466	14.9
469	15.0
472	15.2
475	15.3
478	15.5
481	15.6
484	15.8
487	15.9
490	16.0
493	16.1
496	16.2
499	16.3
502	16.4
505	16.5
508	16.5
511	16.6
514	16.5
517	16.6
520	16.6
523	16.6
526	16.6
529	16.5
532	16.4
535	16.3
538	16.2
541	16.1
544	16.0
547	15.9
550	15.8
553	15.6
556	15.5
559	15.4
562	15.2
565	15.1
568	15.0
571	14.9
574	14.7
577	14.4
580	14.1
583	14.0
586	13.8
589	13.6
592	13.3
595	13.1
598	13.1
601	12.8
604	12.4
607	12.3
610	12.1
613	12.0
616	11.9
619	11.9
622	11.8
625	11.7
628	11.7
631	11.6
634	11.6
637	11.5
640	11.5
643	11.5
646	11.5
649	11.4
652	11.4
655	11.4
658	11.4
661	11.4
664	11.4
667	11.4
670	11.4
673	11.4
676	11.4
679	11.3
682	11.3
685	11.3
688	11.3
691	11.3
694	11.3
697	11.3
700	11.3
