Zakres_U U I
1.1000 1.0243 0.4
11.000 2.102 1.0
11.000 2.822 1.4
11.000 3.248 1.7
11.000 4.010 2.1
11.000 5.050 2.6
11.000 6.070 3.1
11.000 6.987 3.5
11.000 8.024 3.9
11.000 9.005 4.3
11.000 9.985 4.6
110.00 11.93 5.3
110.00 13.99 5.8
110.00 15.99 6.2
110.00 17.82 6.5
110.00 19.85 6.8
110.00 21.99 7.0
110.00 24.09 7.2
110.00 25.83 7.4
110.00 28.03 7.5
110.00 30.15 7.6
110.00 39.50 7.6
110.00 49.64 7.6
110.00 59.41 7.6
110.00 69.58 7.5
110.00 79.61 7.6
110.00 89.14 7.6
110.00 99.66 7.6
110.00 110.00 7.6
